sample_title	internal_id	swarm_id
28w_NS_bac_HgCl_rep5	FE35_NS_bactV4V5_Mercury_Chloride_28_weeks	FE35_NS_bactV4V5_Mercury_Chloride_28_weeks
50w_NS_bac_HgCl_rep3	FE58_NS_bactV4V5_Mercury_Chloride_50_weeks	FE58_NS_bactV4V5_Mercury_Chloride_50_weeks
50w_NS_bac_HgCl_rep5	FE60_NS_bactV4V5_Mercury_Chloride_50_weeks	FE60_NS_bactV4V5_Mercury_Chloride_50_weeks
10w_PW_bac_HgCl_rep1	FE06_PW_bactV4V5_Mercury_Chloride_10_weeks	FE06_PW_bactV4V5_Mercury_Chloride_10_weeks
10w_PW_bac_HgCl_rep2	FE07_PW_bactV4V5_Mercury_Chloride_10_weeks	FE07_PW_bactV4V5_Mercury_Chloride_10_weeks
10w_PW_bac_HgCl_rep3	FE08_PW_bactV4V5_Mercury_Chloride_10_weeks	FE08_PW_bactV4V5_Mercury_Chloride_10_weeks
10w_PW_bac_HgCl_rep4	FE09_PW_bactV4V5_Mercury_Chloride_10_weeks	FE09_PW_bactV4V5_Mercury_Chloride_10_weeks
10w_PW_bac_HgCl_rep5	FE10_PW_bactV4V5_Mercury_Chloride_10_weeks	FE10_PW_bactV4V5_Mercury_Chloride_10_weeks
28w_PW_bac_HgCl_rep1	FE31_PW_bactV4V5_Mercury_Chloride_28_weeks	FE31_PW_bactV4V5_Mercury_Chloride_28_weeks
28w_PW_bac_HgCl_rep2	FE32_PW_bactV4V5_Mercury_Chloride_28_weeks	FE32_PW_bactV4V5_Mercury_Chloride_28_weeks
28w_PW_bac_HgCl_rep3	FE33_PW_bactV4V5_Mercury_Chloride_28_weeks	FE33_PW_bactV4V5_Mercury_Chloride_28_weeks
28w_PW_bac_HgCl_rep4	FE34_PW_bactV4V5_Mercury_Chloride_28_weeks	FE34_PW_bactV4V5_Mercury_Chloride_28_weeks
28w_PW_bac_HgCl_rep5	FE35_PW_bactV4V5_Mercury_Chloride_28_weeks	FE35_PW_bactV4V5_Mercury_Chloride_28_weeks
50w_PW_bac_HgCl_rep1	FE56_PW_bactV4V5_Mercury_Chloride_50_weeks	FE56_PW_bactV4V5_Mercury_Chloride_50_weeks
50w_PW_bac_HgCl_rep2	FE57_PW_bactV4V5_Mercury_Chloride_50_weeks	FE57_PW_bactV4V5_Mercury_Chloride_50_weeks
50w_PW_bac_HgCl_rep3	FE58_PW_bactV4V5_Mercury_Chloride_50_weeks	FE58_PW_bactV4V5_Mercury_Chloride_50_weeks
50w_PW_bac_HgCl_rep4	FE59_PW_bactV4V5_Mercury_Chloride_50_weeks	FE59_PW_bactV4V5_Mercury_Chloride_50_weeks
50w_PW_bac_HgCl_rep5	FE60_PW_bactV4V5_Mercury_Chloride_50_weeks	FE60_PW_bactV4V5_Mercury_Chloride_50_weeks
10w_NS_bac_Form_rep2	FE12_NS_bactV4V5_Formalin_10_weeks	FE12_NS_bactV4V5_Formalin_10_weeks
10w_NS_bac_Form_rep4	FE14_NS_bactV4V5_Formalin_10_weeks	FE14_NS_bactV4V5_Formalin_10_weeks
10w_NS_bac_Form_rep5	FE15_NS_bactV4V5_Formalin_10_weeks	FE15_NS_bactV4V5_Formalin_10_weeks
28w_NS_bac_Form_rep1	FE36_NS_bactV4V5_Formalin_28_weeks	FE36_NS_bactV4V5_Formalin_28_weeks
28w_NS_bac_Form_rep2	FE37_NS_bactV4V5_Formalin_28_weeks	FE37_NS_bactV4V5_Formalin_28_weeks
28w_NS_bac_Form_rep3	FE38_NS_bactV4V5_Formalin_28_weeks	FE38_NS_bactV4V5_Formalin_28_weeks
28w_NS_bac_Form_rep4	FE39_NS_bactV4V5_Formalin_28_weeks	FE39_NS_bactV4V5_Formalin_28_weeks
28w_NS_bac_Form_rep5	FE40_NS_bactV4V5_Formalin_28_weeks	FE40_NS_bactV4V5_Formalin_28_weeks
50w_NS_bac_Form_rep3	FE63_NS_bactV4V5_Formalin_50_weeks	FE63_NS_bactV4V5_Formalin_50_weeks
10w_PW_bac_Form_rep2	FE12_PW_bactV4V5_Formalin_10_weeks	FE12_PW_bactV4V5_Formalin_10_weeks
10w_PW_bac_Form_rep4	FE14_PW_bactV4V5_Formalin_10_weeks	FE14_PW_bactV4V5_Formalin_10_weeks
10w_PW_bac_Form_rep5	FE15_PW_bactV4V5_Formalin_10_weeks	FE15_PW_bactV4V5_Formalin_10_weeks
50w_PW_bac_Form_rep1	FE61_PW_bactV4V5_Formalin_50_weeks	FE61_PW_bactV4V5_Formalin_50_weeks
50w_PW_bac_Form_rep2	FE62_PW_bactV4V5_Formalin_50_weeks	FE62_PW_bactV4V5_Formalin_50_weeks
10w_NS_bac_PB_rep1	FE26_NS_bactV4V5_P_Buffer_10_weeks	FE26_NS_bactV4V5_P_Buffer_10_weeks
10w_NS_bac_PB_rep2	FE27_NS_bactV4V5_P_Buffer_10_weeks	FE27_NS_bactV4V5_P_Buffer_10_weeks
10w_NS_bac_PB_rep3	FE28_NS_bactV4V5_P_Buffer_10_weeks	FE28_NS_bactV4V5_P_Buffer_10_weeks
10w_NS_bac_PB_rep4	FE29_NS_bactV4V5_P_Buffer_10_weeks	FE29_NS_bactV4V5_P_Buffer_10_weeks
10w_NS_bac_PB_rep5	FE30_NS_bactV4V5_P_Buffer_10_weeks	FE30_NS_bactV4V5_P_Buffer_10_weeks
28w_NS_bac_PB_rep1	FE51_NS_bactV4V5_P_Buffer_28_weeks	FE51_NS_bactV4V5_P_Buffer_28_weeks
28w_NS_bac_PB_rep2	FE52_NS_bactV4V5_P_Buffer_28_weeks	FE52_NS_bactV4V5_P_Buffer_28_weeks
28w_NS_bac_PB_rep3	FE53_NS_bactV4V5_P_Buffer_28_weeks	FE53_NS_bactV4V5_P_Buffer_28_weeks
28w_NS_bac_PB_rep4	FE54_NS_bactV4V5_P_Buffer_28_weeks	FE54_NS_bactV4V5_P_Buffer_28_weeks
28w_NS_bac_PB_rep5	FE55_NS_bactV4V5_P_Buffer_28_weeks	FE55_NS_bactV4V5_P_Buffer_28_weeks
50w_NS_bac_PB_rep1	FE76_NS_bactV4V5_P_Buffer_50_weeks	FE76_NS_bactV4V5_P_Buffer_50_weeks
50w_NS_bac_PB_rep2	FE77_NS_bactV4V5_P_Buffer_50_weeks	FE77_NS_bactV4V5_P_Buffer_50_weeks
50w_NS_bac_PB_rep3	FE78_NS_bactV4V5_P_Buffer_50_weeks	FE78_NS_bactV4V5_P_Buffer_50_weeks
50w_NS_bac_PB_rep4	FE79_NS_bactV4V5_P_Buffer_50_weeks	FE79_NS_bactV4V5_P_Buffer_50_weeks
50w_NS_bac_PB_rep5	FE80_NS_bactV4V5_P_Buffer_50_weeks	FE80_NS_bactV4V5_P_Buffer_50_weeks
10w_PW_bac_PB_rep1	FE26_PW_bactV4V5_P_Buffer_10_weeks	FE26_PW_bactV4V5_P_Buffer_10_weeks
10w_PW_bac_PB_rep2	FE27_PW_bactV4V5_P_Buffer_10_weeks	FE27_PW_bactV4V5_P_Buffer_10_weeks
10w_PW_bac_PB_rep3	FE28_PW_bactV4V5_P_Buffer_10_weeks	FE28_PW_bactV4V5_P_Buffer_10_weeks
10w_PW_bac_PB_rep4	FE29_PW_bactV4V5_P_Buffer_10_weeks	FE29_PW_bactV4V5_P_Buffer_10_weeks
28w_PW_bac_PB_rep1	FE51_PW_bactV4V5_P_Buffer_28_weeks	FE51_PW_bactV4V5_P_Buffer_28_weeks
28w_PW_bac_PB_rep2	FE52_PW_bactV4V5_P_Buffer_28_weeks	FE52_PW_bactV4V5_P_Buffer_28_weeks
28w_PW_bac_PB_rep3	FE53_PW_bactV4V5_P_Buffer_28_weeks	FE53_PW_bactV4V5_P_Buffer_28_weeks
28w_PW_bac_PB_rep4	FE54_PW_bactV4V5_P_Buffer_28_weeks	FE54_PW_bactV4V5_P_Buffer_28_weeks
28w_PW_bac_PB_rep5	FE55_PW_bactV4V5_P_Buffer_28_weeks	FE55_PW_bactV4V5_P_Buffer_28_weeks
50w_PW_bac_PB_rep1	FE76_PW_bactV4V5_P_Buffer_50_weeks	FE76_PW_bactV4V5_P_Buffer_50_weeks
50w_PW_bac_PB_rep2	FE77_PW_bactV4V5_P_Buffer_50_weeks	FE77_PW_bactV4V5_P_Buffer_50_weeks
50w_PW_bac_PB_rep3	FE78_PW_bactV4V5_P_Buffer_50_weeks	FE78_PW_bactV4V5_P_Buffer_50_weeks
50w_PW_bac_PB_rep4	FE79_PW_bactV4V5_P_Buffer_50_weeks	FE79_PW_bactV4V5_P_Buffer_50_weeks
50w_PW_bac_PB_rep5	FE80_PW_bactV4V5_P_Buffer_50_weeks	FE80_PW_bactV4V5_P_Buffer_50_weeks
10w_NS_bac_RNAl_rep1	FE16_NS_bactV4V5_RNAlater_10_weeks	FE16_NS_bactV4V5_RNAlater_10_weeks
10w_NS_bac_RNAl_rep2	FE17_NS_bactV4V5_RNAlater_10_weeks	FE17_NS_bactV4V5_RNAlater_10_weeks
10w_NS_bac_RNAl_rep3	FE18_NS_bactV4V5_RNAlater_10_weeks	FE18_NS_bactV4V5_RNAlater_10_weeks
10w_NS_bac_RNAl_rep4	FE19_NS_bactV4V5_RNAlater_10_weeks	FE19_NS_bactV4V5_RNAlater_10_weeks
10w_NS_bac_RNAl_rep5	FE20_NS_bactV4V5_RNAlater_10_weeks	FE20_NS_bactV4V5_RNAlater_10_weeks
28w_NS_bac_RNAl_rep1	FE41_NS_bactV4V5_RNAlater_28_weeks	FE41_NS_bactV4V5_RNAlater_28_weeks
28w_NS_bac_RNAl_rep2	FE42_NS_bactV4V5_RNAlater_28_weeks	FE42_NS_bactV4V5_RNAlater_28_weeks
28w_NS_bac_RNAl_rep3	FE43_NS_bactV4V5_RNAlater_28_weeks	FE43_NS_bactV4V5_RNAlater_28_weeks
28w_NS_bac_RNAl_rep4	FE44_NS_bactV4V5_RNAlater_28_weeks	FE44_NS_bactV4V5_RNAlater_28_weeks
28w_NS_bac_RNAl_rep5	FE45_NS_bactV4V5_RNAlater_28_weeks	FE45_NS_bactV4V5_RNAlater_28_weeks
50w_NS_bac_RNAl_rep1	FE66_NS_bactV4V5_RNAlater_50_weeks	FE66_NS_bactV4V5_RNAlater_50_weeks
50w_NS_bac_RNAl_rep2	FE67_NS_bactV4V5_RNAlater_50_weeks	FE67_NS_bactV4V5_RNAlater_50_weeks
50w_NS_bac_RNAl_rep3	FE68_NS_bactV4V5_RNAlater_50_weeks	FE68_NS_bactV4V5_RNAlater_50_weeks
50w_NS_bac_RNAl_rep4	FE69_NS_bactV4V5_RNAlater_50_weeks	FE69_NS_bactV4V5_RNAlater_50_weeks
50w_NS_bac_RNAl_rep5	FE70_NS_bactV4V5_RNAlater_50_weeks	FE70_NS_bactV4V5_RNAlater_50_weeks
10w_PW_bac_RNAl_rep1	FE16_PW_bactV4V5_RNAlater_10_weeks	FE16_PW_bactV4V5_RNAlater_10_weeks
10w_PW_bac_RNAl_rep2	FE17_PW_bactV4V5_RNAlater_10_weeks	FE17_PW_bactV4V5_RNAlater_10_weeks
10w_PW_bac_RNAl_rep3	FE18_PW_bactV4V5_RNAlater_10_weeks	FE18_PW_bactV4V5_RNAlater_10_weeks
10w_PW_bac_RNAl_rep4	FE19_PW_bactV4V5_RNAlater_10_weeks	FE19_PW_bactV4V5_RNAlater_10_weeks
10w_PW_bac_RNAl_rep5	FE20_PW_bactV4V5_RNAlater_10_weeks	FE20_PW_bactV4V5_RNAlater_10_weeks
28w_PW_bac_RNAl_rep1	FE41_PW_bactV4V5_RNAlater_28_weeks	FE41_PW_bactV4V5_RNAlater_28_weeks
28w_PW_bac_RNAl_rep2	FE42_PW_bactV4V5_RNAlater_28_weeks	FE42_PW_bactV4V5_RNAlater_28_weeks
28w_PW_bac_RNAl_rep3	FE43_PW_bactV4V5_RNAlater_28_weeks	FE43_PW_bactV4V5_RNAlater_28_weeks
28w_PW_bac_RNAl_rep4	FE44_PW_bactV4V5_RNAlater_28_weeks	FE44_PW_bactV4V5_RNAlater_28_weeks
28w_PW_bac_RNAl_rep5	FE45_PW_bactV4V5_RNAlater_28_weeks	FE45_PW_bactV4V5_RNAlater_28_weeks
50w_PW_bac_RNAl_rep1	FE66_PW_bactV4V5_RNAlater_50_weeks	FE66_PW_bactV4V5_RNAlater_50_weeks
50w_PW_bac_RNAl_rep2	FE67_PW_bactV4V5_RNAlater_50_weeks	FE67_PW_bactV4V5_RNAlater_50_weeks
50w_PW_bac_RNAl_rep3	FE68_PW_bactV4V5_RNAlater_50_weeks	FE68_PW_bactV4V5_RNAlater_50_weeks
50w_PW_bac_RNAl_rep4	FE69_PW_bactV4V5_RNAlater_50_weeks	FE69_PW_bactV4V5_RNAlater_50_weeks
50w_PW_bac_RNAl_rep5	FE70_PW_bactV4V5_RNAlater_50_weeks	FE70_PW_bactV4V5_RNAlater_50_weeks
10w_NS_bac_DNAg_rep1	FE21_NS_bactV4V5_DNAgard_10_weeks	FE21_NS_bactV4V5_DNAgard_10_weeks
10w_NS_bac_DNAg_rep2	FE22_NS_bactV4V5_DNAgard_10_weeks	FE22_NS_bactV4V5_DNAgard_10_weeks
10w_NS_bac_DNAg_rep3	FE23_NS_bactV4V5_DNAgard_10_weeks	FE23_NS_bactV4V5_DNAgard_10_weeks
10w_NS_bac_DNAg_rep4	FE24_NS_bactV4V5_DNAgard_10_weeks	FE24_NS_bactV4V5_DNAgard_10_weeks
10w_NS_bac_DNAg_rep5	FE25_NS_bactV4V5_DNAgard_10_weeks	FE25_NS_bactV4V5_DNAgard_10_weeks
28w_NS_bac_DNAg_rep1	FE46_NS_bactV4V5_DNAgard_28_weeks	FE46_NS_bactV4V5_DNAgard_28_weeks
28w_NS_bac_DNAg_rep2	FE47_NS_bactV4V5_DNAgard_28_weeks	FE47_NS_bactV4V5_DNAgard_28_weeks
28w_NS_bac_DNAg_rep3	FE48_NS_bactV4V5_DNAgard_28_weeks	FE48_NS_bactV4V5_DNAgard_28_weeks
28w_NS_bac_DNAg_rep4	FE49_NS_bactV4V5_DNAgard_28_weeks	FE49_NS_bactV4V5_DNAgard_28_weeks
28w_NS_bac_DNAg_rep5	FE50_NS_bactV4V5_DNAgard_28_weeks	FE50_NS_bactV4V5_DNAgard_28_weeks
50w_NS_bac_DNAg_rep1	FE71_NS_bactV4V5_DNAgard_50_weeks	FE71_NS_bactV4V5_DNAgard_50_weeks
50w_NS_bac_DNAg_rep2	FE72_NS_bactV4V5_DNAgard_50_weeks	FE72_NS_bactV4V5_DNAgard_50_weeks
50w_NS_bac_DNAg_rep3	FE73_NS_bactV4V5_DNAgard_50_weeks	FE73_NS_bactV4V5_DNAgard_50_weeks
50w_NS_bac_DNAg_rep4	FE74_NS_bactV4V5_DNAgard_50_weeks	FE74_NS_bactV4V5_DNAgard_50_weeks
50w_NS_bac_DNAg_rep5	FE75_NS_bactV4V5_DNAgard_50_weeks	FE75_NS_bactV4V5_DNAgard_50_weeks
10w_PW_bac_DNAg_rep1	FE21_PW_bactV4V5_DNAgard_10_weeks	FE21_PW_bactV4V5_DNAgard_10_weeks
10w_PW_bac_DNAg_rep2	FE22_PW_bactV4V5_DNAgard_10_weeks	FE22_PW_bactV4V5_DNAgard_10_weeks
10w_PW_bac_DNAg_rep3	FE23_PW_bactV4V5_DNAgard_10_weeks	FE23_PW_bactV4V5_DNAgard_10_weeks
10w_PW_bac_DNAg_rep4	FE24_PW_bactV4V5_DNAgard_10_weeks	FE24_PW_bactV4V5_DNAgard_10_weeks
10w_PW_bac_DNAg_rep5	FE25_PW_bactV4V5_DNAgard_10_weeks	FE25_PW_bactV4V5_DNAgard_10_weeks
28w_PW_bac_DNAg_rep1	FE46_PW_bactV4V5_DNAgard_28_weeks	FE46_PW_bactV4V5_DNAgard_28_weeks
28w_PW_bac_DNAg_rep2	FE47_PW_bactV4V5_DNAgard_28_weeks	FE47_PW_bactV4V5_DNAgard_28_weeks
28w_PW_bac_DNAg_rep3	FE48_PW_bactV4V5_DNAgard_28_weeks	FE48_PW_bactV4V5_DNAgard_28_weeks
28w_PW_bac_DNAg_rep4	FE49_PW_bactV4V5_DNAgard_28_weeks	FE49_PW_bactV4V5_DNAgard_28_weeks
28w_PW_bac_DNAg_rep5	FE50_PW_bactV4V5_DNAgard_28_weeks	FE50_PW_bactV4V5_DNAgard_28_weeks
50w_PW_bac_DNAg_rep1	FE71_PW_bactV4V5_DNAgard_50_weeks	FE71_PW_bactV4V5_DNAgard_50_weeks
50w_PW_bac_DNAg_rep2	FE72_PW_bactV4V5_DNAgard_50_weeks	FE72_PW_bactV4V5_DNAgard_50_weeks
50w_PW_bac_DNAg_rep3	FE73_PW_bactV4V5_DNAgard_50_weeks	FE73_PW_bactV4V5_DNAgard_50_weeks
50w_PW_bac_DNAg_rep4	FE74_PW_bactV4V5_DNAgard_50_weeks	FE74_PW_bactV4V5_DNAgard_50_weeks
50w_PW_bac_DNAg_rep5	FE75_PW_bactV4V5_DNAgard_50_weeks	FE75_PW_bactV4V5_DNAgard_50_weeks
